time,step,train_loss,train_acc,test_loss,test_acc
2024-06-09 11:54:01,Step[1],2.164487,19.902,1199700530077641474048.000000,19.89
2024-06-09 11:58:02,Step[2],1.970306,27.036,4370095288964965888.000000,29.82
2024-06-09 12:01:57,Step[3],1.739262,35.262,30502359038489604096.000000,39.41
2024-06-09 12:05:53,Step[4],1.583912,41.196,2872166820291451392.000000,42.36
2024-06-09 12:09:55,Step[5],1.451364,46.624,9324674773629671424.000000,49.29
2024-06-09 12:13:56,Step[6],1.353473,50.828,10549257477610733568.000000,52.55
2024-06-09 12:17:53,Step[7],1.273109,54.234,2119383211874544896.000000,54.89
2024-06-09 12:21:51,Step[8],1.202370,56.836,8592170338194157568.000000,56.17
2024-06-09 12:25:51,Step[9],1.143382,59.036,355586866320205568.000000,61.5
2024-06-09 12:29:49,Step[10],1.097464,60.76,18296821214663912.000000,64.4
2024-06-09 12:33:49,Step[11],1.061001,62.224,14460853323386621952.000000,62.79
2024-06-09 12:37:48,Step[12],1.027043,63.528,2426387933090662912.000000,65.77
2024-06-09 12:41:49,Step[13],0.998511,64.558,6352845861301263360.000000,62.84
2024-06-09 12:45:50,Step[14],0.968978,65.708,12381373943373256.000000,67.41
2024-06-09 12:49:47,Step[15],0.942012,66.58,1507001950092750592.000000,67.78
2024-06-09 12:53:47,Step[16],0.920351,67.438,20153863408376580.000000,68.98
2024-06-09 12:57:46,Step[17],0.896349,68.262,76359484622285712.000000,69.72
2024-06-09 13:01:41,Step[18],0.880342,69.18,202048419819414272.000000,68.5
2024-06-09 13:05:41,Step[19],0.858592,69.588,174735088729260.343750,69.09
2024-06-09 13:09:40,Step[20],0.842619,70.462,626240732749865.500000,67.93
2024-06-09 13:13:41,Step[21],0.813486,71.32,2726699526478.622070,70
2024-06-09 13:17:42,Step[22],0.796767,71.882,7049123861448.235352,70.54
2024-06-09 13:21:44,Step[23],0.787379,72.382,9361069991505.556641,71.36
2024-06-09 13:25:45,Step[24],0.775604,72.922,201181179777640.062500,70.43
2024-06-09 13:29:45,Step[25],0.768340,72.884,306542463131128.500000,70.85
2024-06-09 13:33:48,Step[26],0.761237,73.216,7609324465853.709961,73.14
2024-06-09 13:37:49,Step[27],0.751955,73.646,4228057778403868.500000,71.24
2024-06-09 13:41:48,Step[28],0.748773,73.84,22793988653219868.000000,72.25
2024-06-09 13:45:46,Step[29],0.737333,74.158,152074303535225792.000000,73.03
2024-06-09 13:49:48,Step[30],0.733355,74.252,24038340881416132.000000,70.55
2024-06-09 13:53:50,Step[31],0.724293,74.448,923958343795240.375000,72.56
2024-06-09 13:57:52,Step[32],0.723724,74.362,229693145718965.406250,71.31
2024-06-09 14:01:50,Step[33],0.707775,75.22,8099325025247417.000000,69.57
2024-06-09 14:05:51,Step[34],0.708400,75.078,830755412730.048340,73.07
2024-06-09 14:09:49,Step[35],0.701575,75.466,14073742962779.912109,73.85
2024-06-09 14:13:49,Step[36],0.690320,75.85,34718632902968476.000000,69.6
2024-06-09 14:17:52,Step[37],0.686811,75.738,14343355105658204.000000,69.22
2024-06-09 14:21:54,Step[38],0.677808,76.288,410347767264167.875000,70.51
2024-06-09 14:25:56,Step[39],0.676613,76.214,15295956600796.730469,72.79
2024-06-09 14:29:56,Step[40],0.673764,76.528,21384083376526.078125,73.92
2024-06-09 14:33:53,Step[41],0.654835,77.166,708983419882854.500000,72.97
2024-06-09 14:37:52,Step[42],0.648292,77.112,1195747172921.353516,75.5
2024-06-09 14:41:53,Step[43],0.643729,77.512,17695302669972.859375,71.36
2024-06-09 14:45:53,Step[44],0.638432,77.736,186705067671082.937500,72.49
2024-06-09 14:49:54,Step[45],0.640298,77.634,1268702075264673.750000,72.46
2024-06-09 14:53:53,Step[46],0.632741,77.652,505237481643296.437500,72.97
2024-06-09 14:57:53,Step[47],0.631367,77.828,461482679172298.625000,72.6
2024-06-09 15:01:56,Step[48],0.631087,77.748,3623240601405050.500000,71.83
2024-06-09 15:05:56,Step[49],0.625005,78.352,1128047543906156.250000,71.22
2024-06-09 15:09:58,Step[50],0.621281,78.292,189397277350064.906250,72.92
2024-06-09 15:13:58,Step[51],0.625878,78.06,35020762140999.496094,72.11
